Category,Skills
data analyst,"data science, a/b testing, time series analysis, cloud computing, data modeling, data automation, sql reporting, data interpretation"
information technology,"incident management, aws s3, web servers, virtual private network (vpn), nginx, active directory"
mobile application developer,"c#, cocoa touch, app refactoring, app monetization, native app development, app store review, app security encryption, app lifecycle management, xcode, cocoapods"
artificial intelligence,"recurrent neural networks (rnn), nlp, mlflow, lightgbm, data wrangling, big data analytics, machine learning, ai optimization"
machine learning,"natural language understanding (nlu), scikit-learn, azure machine learning, deep learning, data engineering, model explainability, random forest"
mobile application developer,"cocoa touch, agile development, cross-platform development, app security encryption, app updates, mobile app backend, code review, firebase, app refactoring"
ui/ux designer,"ux/ui methodologies, ux principles, css grid, sketch, ux design, mobile ux"
cloud engineer,"scripting, cloud computing, cloud testing, cloud load balancing, cloud monitoring, cloud cdn, network security"
ui/ux designer,"ui design, html/css, prototyping tools, responsive design, product design, product management, design systems, adobe creative suite, html5"
full stack developer,"ci/cd, mobile application development, redux, api integration, kubernetes, frontend frameworks, typescript, devops, mobile development, webpack"
ui/ux designer,"responsive design, product design, mobile app design, ux principles, wireframes"
ui/ux designer,"adobe xd, user testing, product design, html5, ui design systems, market research, responsive design, branding, balsamiq"
backend developer,"terraform, ci/cd, load balancing, rest apis, restful web services, graphql apis, kubernetes"
web developer,"angular, jwt token, ux/ui design, mockups, node.js, webpack, jasmine, nginx"
cloud engineer,"aws lambda, aws, virtualization, cloud event-driven architecture, network security, networking, scripting, k8s, helm, git"
iot developer,"iot cloud platforms, edge data processing, iot security, iot device security, iot frameworks, communication protocols"
machine learning,"tensorflow, artificial intelligence, edge ai, linear regression, numpy, logistic regression, pandas, mlflow, computer vision, docker"
machine learning,"edge ai, mlflow, support vector machines (svm), ai, computer vision, azure machine learning, apache spark, data wrangling"
network engineer,"network hardware, gcp networking, vpn tunnels, qos, network troubleshooting tools, network topology, f5 networks, network simulation, routing devices, network scaling"
iot developer,"iot security, iot application development, mqtt, i2c, google cloud iot, machine learning"
information technology,"linux, application development, mongodb, bash scripting, citrix, backup solutions, linux os, load balancing, windows server, jenkins"
artificial intelligence,"mlflow, ai model deployment, cloud computing, ai for robotics, logistic regression"
data analyst,"data collection, gcp, data cleansing, machine learning, seaborn, sql server, market research, r, snowflake, tensorflow"
backend developer,"database optimization, caching strategies, flask, ruby, sql"
cyber security,"kali linux, ransomware protection, ethical hacking, siem integration, metasploit, advanced persistent threats, cloudflare"
network engineer,"vpn, ipv4, wi-fi, ntp, powershell, routing devices"
data analyst,"survey analysis, jupyter notebooks, data reporting, numpy, azure, data strategy, dax, etl, power query"
information technology,"linux os, windows 10, cloud storage, mysql, sql server, automation, system monitoring, network security, google cloud"
data analyst,"market research, data reporting, big data, cloud computing, sql server, data collection, customer insights"
full stack developer,"ruby, go, express.js, svelte, ui/ux design, kubernetes, mongodb, docker"
software engineer,"raspberry pi, jira, sql, real-time operating systems, swiftui, graphql, redis, spark"
machine learning,"dimensionality reduction, kubernetes, natural language understanding (nlu), natural language processing (nlp), keras, python, random forest, statistical modeling"
machine learning,"statistical modeling, model optimization, xgboost, natural language understanding (nlu), r, generative adversarial networks (gans), model training, random forest, numpy"
backend developer,"c#, python, load balancing, kubernetes, mockito, oauth, nosql"
full stack developer,"frontend frameworks, oauth, ui/ux design, cross-browser compatibility, devops, nosql, behavior-driven development, responsive design"
artificial intelligence,"cloud computing, artificial neural networks (ann), ai ethics, random forest, edge ai, python, data visualization, ai software development, ai frameworks, matplotlib"
data analyst,"time series analysis, power query, data modeling, database management, pandas, predictive analytics"
software engineer,"raspberry pi, scikit-learn, bash, distributed systems, test automation"
backend developer,"application security, django, kubernetes, mysql, database integration, server-side programming, api documentation"
artificial intelligence,"convolutional neural networks (cnn), catboost, spark, ai model deployment, computer vision, cloud computing, data science, natural language processing"
database developer,"dax, sql, dynamodb, distributed databases, oracle, python"
backend developer,"apache, data modeling, cloud infrastructure, jwt authentication, postgresql, spring boot, test automation"
data scientist,"hyperparameter tuning, pytorch, seaborn, bayesian inference, neural networks, sql queries, data engineering, data analysis, deep learning algorithms, google cloud platform"
information technology,"application development, nginx, itil, it support, jenkins"
machine learning,"clustering, knn, r, lightgbm, model optimization"
machine learning,"knn, google cloud ai, recurrent neural networks (rnn), convolutional neural networks (cnn), r, random forest, computer vision, ai models, model training"
big data engineer,"data redundancy, nosql, data visualization, business intelligence, graph databases, apache kafka, hadoop security, data pipeline, aws, etl"
artificial intelligence,"azure ai, ai algorithms, lightgbm, gans, ai-based optimization, ai in security, ai for business intelligence, catboost, text mining"
machine learning,"reinforcement learning, h2o.ai, ml algorithms, automl, text classification, model optimization, model evaluation, machine learning operations (mlops), scikit-learn, clustering"
artificial intelligence,"deep reinforcement learning, deep learning, data preprocessing, cloud-based ai, machine learning operations (mlops), model deployment, text mining, transfer learning, data wrangling"
artificial intelligence,"ai for finance, ai frameworks, natural language understanding (nlu), machine learning operations (mlops), data science, support vector machines (svm), neural networks"
artificial intelligence,"ai model interpretability, dimensionality reduction, google cloud ai, deep reinforcement learning, xgboost, spark, hadoop, gradient boosting, deep learning algorithms"
data analyst,"data pipeline, data interpretation, data modeling, customer data platforms, statistics, python libraries, sql server"
backend developer,"aws, c#, oauth2, apache, rabbitmq, azure, sql, spring cloud, database management, flask"
data scientist,"natural language processing (nlp), modeling, cloud computing, seaborn, big data"
data analyst,"etl pipelines, time series analysis, data collection, power bi, power query, tableau, customer data platforms, sql reporting, sql server"
software engineer,"spring boot, linux, trello, confluence, scikit-learn, blockchain, azure, tls/ssl, pandas"
artificial intelligence,"quantum ai, artificial neural networks (ann), support vector machines (svm), ai for healthcare, data mining, scikit-learn, convolutional neural networks (cnn), ai for finance, random forest, reinforcement learning algorithms"
backend developer,"cloud infrastructure, cloud security, microservices, server-side programming, database design"
information technology,"sql, sql server, software updates, scripting, docker, bash scripting, vpn configuration"
software engineer,"kubernetes, terraform, vue.js, ui/ux design, agile"
artificial intelligence,"ai-based optimization, ai in security, ai model interpretability, ai solutions, model deployment, google cloud ai, computer vision"
cyber security,"threat hunting, risk management, soc, aws security, forensics, cisa, two-factor authentication, siem integration, siem"
mobile application developer,"dart, cocoapods, java, app monetization, app distribution, app performance tools, code review, restful apis, cross-platform development, app updates"
data scientist,"neural networks, modeling, deep reinforcement learning, business intelligence, dimensionality reduction, sql queries, numpy"
full stack developer,"svelte, sql queries, mobile development, mysql, github, gcp, graphql apis"
iot developer,"wi-fi, sensors, telemetry systems, edge computing, iot hardware, iot cloud platforms"
web developer,"wordpress, mockups, firebase, html, back-end frameworks, cross-browser compatibility, drupal, test automation"
artificial intelligence,"graph neural networks (gnn), text mining, bayesian inference, reinforcement learning, spark, data preprocessing, generative models, edge ai"
full stack developer,"cloud development, css3, jquery, microservices, webpack"
data analyst,"data modeling, snowflake, cloud computing, r, data extraction, data wrangling"
full stack developer,"web performance optimization, kubernetes, php, web development, sql, docker, python, postgresql, scrum, serverless architecture"
database developer,"data transformation, database design, data warehousing, couchdb, data structures, indexing, data integrity"
web developer,"performance optimization, mockups, express, nosql, seo, heroku"
data scientist,"kubernetes, data security, deep learning, deep reinforcement learning, sql, h2o.ai, business intelligence, cross-validation"
information technology,"chef, data encryption, powershell, incident management, active directory, file management"
data analyst,"data warehousing, data automation, data pipeline, time series analysis, numpy, data science, data integration, statistics, python, tableau"
artificial intelligence,"ai in security, data visualization, ai in autonomous vehicles, gradient boosting, matplotlib"
web developer,"version control, performance optimization, webpack, vue.js, ajax, sublime text, invision, back-end frameworks, github"
backend developer,"jenkins, distributed systems, terraform, sql, database management, behavior-driven development"
information technology,"database management, microsoft exchange, scripting, it support, citrix, backup solutions, firewall management, file management, cloud computing, email systems"
web developer,"python, front-end frameworks, mysql, heroku, restful services, material ui"
ui/ux designer,"html/css, figma, user flows, miro, mobile app design, material design, javascript"
big data engineer,"machine learning (big data), big data querying, java mapreduce, python, apache hive, cloud data solutions, distributed data systems, big data modeling, etl tools, aws kinesis"
backend developer,"google cloud, mongodb atlas, jenkins, rest apis, ci/cd, mysql, docker"
cloud engineer,"linux, network security, aws s3, cloud architecture, cloud apis, cloud design patterns, serverless architecture"
artificial intelligence,"machine learning, r, data science, dimensionality reduction, graph neural networks (gnn), text mining, big data"
ui/ux designer,"trello, interaction design, persona development, responsive design, css flexbox"
iot developer,"machine learning, aws iot, real-time systems, raspberry pi, data storage"
software engineer,"postgresql, scrum, selenium, java, spring boot, react"
cyber security,"azure security, siem integration, dlp, advanced persistent threats, it governance, security incident management, cisco security, compliance, vpn, malware reverse engineering"
cyber security,"cisco security, cloud access security broker (casb), blue teaming, security monitoring, security patch management, dlp, red teaming, compliance"
backend developer,"database design, data modeling, java, linux, jwt"
artificial intelligence,"mlflow, convolutional neural networks (cnn), computer vision algorithms, machine learning operations (mlops), ai in iot, ai solutions"
information technology,"hyper-v, hardware installation, software updates, load balancing, it asset management, sql, nginx"
mobile application developer,"in-app purchases, uikit, app performance optimization, app debugging tools, app analytics, app security"
cyber security,"security patch management, soc analyst, xss, vulnerability management, cism, pci dss, threat hunting, iso 27001, redhat security"
machine learning,"pytorch, data visualization, artificial intelligence, convolutional neural networks (cnn), logistic regression, h2o.ai, reinforcement learning algorithms, google cloud ai, xgboost"
backend developer,"google cloud, api documentation, database design, apis, java, microservices architecture, jenkins, app performance optimization"
data scientist,"aws, reinforcement learning, matplotlib, hadoop, data visualization"
cloud engineer,"monitoring tools, cloud networking tools, scripting, cloud data integration, linux, service mesh"
web developer,"serverless architecture, angularjs, back-end frameworks, bootstrap, cms development, ssl/tls, aws, web hosting, vercel"
backend developer,"containerization, junit, data structures, test automation, data modeling, spring boot, jwt authentication, graphql apis, kubernetes, redis streams"
machine learning,"linear regression, automl, scikit-learn, nlp techniques, dimensionality reduction, model training"
information technology,"endpoint security, powershell, bash scripting, itil, data encryption, load balancing, server configuration, windows 10, email systems, chef"
artificial intelligence,"python, machine learning, data mining, ai solutions, support vector machines (svm), ai for business intelligence, unsupervised learning"
cloud engineer,"puppet, cloud infrastructure, cloud integration, serverless architecture, cloud cost optimization, network security, git"
data scientist,"neural networks, svm, dimensionality reduction, numpy, ai, monte carlo methods, natural language processing (nlp), collaborative filtering, supervised learning"
machine learning,"ai, xgboost, ml algorithms, model deployment, artificial intelligence, python, reinforcement learning, kubernetes, data science"
artificial intelligence,"data wrangling, seaborn, text mining, scikit-learn, edge ai, reinforcement learning, ai for finance, support vector machines (svm), deep learning"
software engineer,"nosql, spring boot, network security, javascript (typescript), react, kafka"
artificial intelligence,"convolutional neural networks (cnn), computer vision algorithms, robotic process automation (rpa), tensorflow, computer vision, logistic regression, data preprocessing, ai solutions, spark, mlflow"
cyber security,"cyber intelligence, cryptography, kali linux, threat hunting, owasp, data loss prevention, compliance auditing, security operations"
backend developer,"service-oriented architecture, websockets, version control, microservices, serverless, api gateway, google cloud"
iot developer,"data storage, c++, c, real-time systems, edge ai, cybersecurity (iot), raspberry pi, thingspeak"
network engineer,"firewalls, network hardware, network configuration, mpls, wireless networks"
cyber security,"iso 27001, wireshark, single sign-on (sso), gcp security, vpn, cloud security, linux security, xss"
data analyst,"data reporting, database management, predictive analytics, statistics, azure, data science"
ui/ux designer,"responsive design, adobe creative suite, marvel, design thinking, ui design, trello, zeplin, usability testing, user interface guidelines"
ui/ux designer,"css grid, accessibility standards, ui design systems, market research, html5"
cloud engineer,"cloud databases, cloud architecture, cloud virtual machines, cloud security, vpc, cloud networking tools, aws s3, bash, security groups"
big data engineer,"zookeeper, cloud data solutions, big data querying, data governance, spark streaming, data cleansing, cassandra, data redundancy, aws emr"
software engineer,"hadoop, sql, websockets, objective-c, swift, vue.js, scikit-learn, data analysis"
information technology,"software updates, file management, c#, microsoft exchange, git, database management, aws s3, apache"
machine learning,"ai models, python, aws sagemaker, statistical modeling, pca (principal component analysis), tensorflow, mlflow"
cloud engineer,"cloud application development, networking, openstack, ci/cd, cloud event-driven architecture"
data analyst,"sql server, r, statistical analysis, dax, azure, power bi, data reporting, python"
web developer,"shopify, performance optimization, visual studio code, google cloud, es6, node.js, chai"
iot developer,"data visualization, wi-fi, web of things (wot), rtos, i2c, iot data protocols, ai algorithms, spi, embedded linux, embedded c"
ui/ux designer,"html5, invision, user research, ui animation, wireframes, mobile app design, branding, javascript"
cloud engineer,"cloud monitoring, microservices, aws s3, scripting, iam, cloud cost optimization, serverless architecture, helm, cloud performance, automation"
cloud engineer,"cloud cdn, cloud testing, cloud automation, chef, cloud load balancing, cloud application development, network security, git, cloud security"
web developer,"wireframing, ux/ui design, github, python, jwt"
machine learning,"data science, numpy, model training, scikit-learn, natural language understanding (nlu), pca (principal component analysis), ensemble methods, text classification, model optimization, ai frameworks"
artificial intelligence,"dimensionality reduction, big data analytics, pytorch, google cloud ai, speech recognition, gradient boosting, reinforcement learning algorithms, data science"
machine learning,"data visualization, ml algorithms, tensorflow, natural language understanding (nlu), azure machine learning, deep learning, convolutional neural networks (cnn), ensemble methods, catboost, random forest"
information technology,"data encryption, c#, vmware, endpoint security, itil, server virtualization, powershell, sql server, docker, vpn configuration"
machine learning,"apache spark, data science, pandas, ai frameworks, model training, time series forecasting, docker, catboost, azure machine learning, recurrent neural networks (rnn)"
machine learning,"hyperparameter tuning, model training, nlp techniques, edge ai, random forest"
web developer,"performance optimization, vercel, web hosting, webpack, sass, seo optimization"
cyber security,"security tools, azure security, endpoint protection, cve, forensics, risk management, compliance, aws security, security monitoring"
software engineer,"ansible, monitoring, mongodb, gcp, linux"
big data engineer,"apache hive, python, cassandra, elasticsearch, real-time processing, data management tools, data lake, etl tools"
full stack developer,"sql, azure, unit testing, mongodb, redux, agile, bootstrap, webpack, svelte, express.js"
information technology,"mysql, troubleshooting, data center management, jenkins, active directory"
ui/ux designer,"ux/ui accessibility, color theory, trello, ux design, web design, user-centered design, user flows, ui/ux best practices, sketch"
machine learning,"model deployment, big data machine learning, natural language processing (nlp), federated learning, numpy"
iot developer,"iot sensors, embedded c, data integration, iot device management, raspberry pi, iot device security, sensor networks, embedded software"
machine learning,"big data machine learning, lightgbm, clustering, supervised learning, model explainability, unsupervised learning, apache spark, deep learning, gradient boosting"
artificial intelligence,"ai model deployment, model evaluation, ai-driven analytics, ai for finance, data mining, data wrangling"
database developer,"etl, database indexing, database clustering, data migration strategy, python, nosql, database optimization, sql server, pl/sql"
network engineer,"network virtualization, juniper networks, vpn tunnels, network troubleshooting tools, network infrastructure, dns, routing protocols"
artificial intelligence,"text mining, model deployment, model evaluation, cloud computing, bayesian inference, r, ai productization, scikit-learn, ai-driven analytics, edge ai"
artificial intelligence,"data science, cloud computing, model evaluation, ai in gaming, text mining, ai for robotics, ai model deployment, model deployment"
software engineer,"css, swift, swiftui, microservices, test automation, cloudformation, javascript (typescript), java, pytorch, rest apis"
full stack developer,"oauth, go, cross-browser compatibility, web performance optimization, javascript, frontend frameworks"
backend developer,"database integration, restful web services, terraform, flask, python, oauth, apis"
database developer,"cloud databases, redis, mysql, etl, hadoop, azure sql database"
cyber security,"web application security, network security, encryption, cloud security, owasp, authorization, vulnerability management"
cloud engineer,"cloud automation, terraform, monitoring tools, big data on cloud, iam, containers"
artificial intelligence,"data mining, big data analytics, seaborn, ai in iot, aws, data preprocessing, transfer learning"
mobile application developer,"core data, app distribution, app updates, app analytics, google play store, android jetpack, c#, git, cross-platform development"
information technology,"sql, automation, puppet, aws, cloud deployment, it support"
mobile application developer,"dart, android sdk, app updates, sqlite, git, push notifications"
data scientist,"svm, neural networks, scikit-learn, supervised learning, anomaly detection, data pipelines, google cloud platform"
machine learning,"google cloud ai, apache spark, nlp techniques, data science, keras, computer vision, text mining"
mobile application developer,"mobile app backend, c#, continuous integration, sqlite, app store guidelines, react native, in-app purchases, app refactoring, user authentication"
database developer,"sql server, data governance, python, database scripting, data modeling, database optimization, data warehousing, sharding"
data scientist,"dimensional modeling, pytorch, power bi, data cleaning, supervised learning, neural networks, sql, azure, collaborative filtering, time series analysis"
web developer,"version control, javascript, progressive web apps, apache, wordpress, css flexbox, shopify, express.js"
ui/ux designer,"sketch, user flows, svg, css grid, mobile app design, ux analytics"
full stack developer,"php, react, cloud functions, linux, go, websockets, jest, vue.js, sql"
ui/ux designer,"ux/ui methodologies, agile, svg, jira, design systems, sketch"
artificial intelligence,"data visualization, lightgbm, reinforcement learning algorithms, supervised learning, spark, support vector machines (svm), computer vision algorithms"
machine learning,"logistic regression, big data machine learning, docker, deep learning, text classification"
iot developer,"iot device security, blockchain (iot), bluetooth, embedded c, edge ai, edge computing, iot cloud analytics, device-to-cloud integration, http"
artificial intelligence,"ai in autonomous vehicles, data mining, random forest, ai for healthcare, data preprocessing"
artificial intelligence,"nlp, gans, ai in iot, deep reinforcement learning, quantum ai, ai software development, aws, convolutional neural networks (cnn), ai optimization"
network engineer,"traffic analysis, wireless networks, network topology, ipv4, wireshark, packet loss, cisco, ntp, network hardware, ssl vpn"
web developer,"graphql, seo optimization, express, jest, wireframing, authentication, chai, mysql, docker, es6"
data analyst,"data modeling, seaborn, power bi, excel, big data, aws, sql reporting"
cyber security,"dlp, ethical hacking, windows security, wireshark, web application security"
information technology,"vpn configuration, file management, business continuity, servicenow, cloud deployment, cloud storage"
data analyst,"sql queries, seaborn, matplotlib, data reporting, data analytics, rstudio, gcp"
full stack developer,"mysql, azure, ui/ux design, graphql apis, mobile web development"
artificial intelligence,"ai for robotics, random forest, natural language understanding (nlu), data science, ai-driven analytics, big data"
web developer,"html, mocha, webpack, invision, sketch"
iot developer,"azure iot, iot security, iot cloud platforms, data storage, edge ai, c, fog computing, iot data processing, sensors"
database developer,"database partitioning, java, c#, xml, cloud database"
full stack developer,"websockets, database design, mongodb, mobile development, html5, php"
iot developer,"artificial intelligence (ai), web of things (wot), sensors, big data analytics, nb-iot, raspberry pi, edge-to-cloud communication, sensor networks, real-time systems"
cyber security,"two-factor authentication, ethical hacking, authentication, threat intelligence, threat hunting, apt, compliance auditing, security risk analysis, data loss prevention"
ui/ux designer,"ui animation, adobe creative suite, icon design, mobile app design, product design, svg, mobile ux"
backend developer,"graphql apis, version control, redis streams, devops, containerization, jwt authentication, algorithms, docker compose"
information technology,"managed services, firewall configuration, it asset management, application development, vpn, web servers, postgresql"
database developer,"nosql, database performance, t-sql, nosql databases, data governance, json, data integration, java, database backup"
network engineer,"packet tracer, network monitoring, site-to-site vpn, voip, routing devices, wireshark, ssl vpn, traffic analysis, ipv6, network design"
data analyst,"data reporting, market research, spark, google analytics, google bigquery, cloud computing, statistical analysis"
big data engineer,"pig, data management tools, nosql databases, real-time analytics, scala"
cyber security,"gcp security, soc, cve, it governance, malware reverse engineering, forensics, nist"
information technology,"firewall configuration, sql, firewall management, git, tcp/ip, c#, aws, cloud storage, server configuration"
mobile application developer,"mobile app testing, java, continuous integration, objective-c++, android sdk, automated testing, code review, cocoa touch, mobile app backend, xcode"
information technology,"api management, network configuration, puppet, ssl/tls, vmware vsphere, javascript"
artificial intelligence,"transfer learning, speech recognition, dimensionality reduction, adversarial networks, ai algorithms, ai in autonomous vehicles, ai-based optimization, edge ai, xgboost"
big data engineer,"apache kafka, aws kinesis, real-time analytics, java mapreduce, sql, apache flink, zookeeper, spark, hadoop ecosystem, apache hive"
machine learning,"random forest, docker, natural language processing (nlp), r, h2o.ai"
backend developer,"oauth2, distributed systems, load balancing, docker, microservices, node.js, redis streams, graphql apis"
full stack developer,"kubernetes, html5, websockets, jest, mysql, node package manager (npm), mobile web development, serverless architecture, functional programming, devops"
cloud engineer,"cloud performance, cloud devops, google cloud platform (gcp), cloud infrastructure, cloud backup, virtualization, automation, k8s, cloud networking, api integration"
artificial intelligence,"ai productization, model deployment, bayesian inference, seaborn, ai model deployment, machine learning"
data scientist,"predictive modeling, modeling, apache kafka, clustering, kubernetes, sql server, computer vision, keras, svm, docker"
machine learning,"text mining, time series forecasting, classification algorithms, text classification, mlflow, ml algorithms, data engineering, natural language processing (nlp), big data machine learning, docker"
full stack developer,"cloud functions, mobile development, rest apis, behavior-driven development, kubernetes, nosql, test-driven development"
cyber security,"threat intelligence, kali linux, firewalls configuration, rhel security, azure security, system hardening, encryption"
database developer,"database query optimization, data access management, xml, hadoop, jdbc, data privacy, nosql"
network engineer,"network management, snmp, palo alto networks, python, azure networking, powershell"
backend developer,"distributed caching, devops, database design, terraform, database integration"
machine learning,"scikit-learn, xgboost, h2o.ai, ml algorithms, edge ai, azure machine learning, unsupervised learning, machine learning operations (mlops)"
machine learning,"aws sagemaker, clustering, speech recognition, computer vision, logistic regression, time series forecasting, neural networks, hyperparameter tuning"
information technology,"google cloud, aws ec2, postgresql, it support, aws s3, azure, server configuration, data center management"
backend developer,"app performance optimization, rabbitmq, distributed systems, redis streams, jenkins, nosql, graphql, ci/cd, python"
cyber security,"cisa, pentest, pci dss, cryptography, system hardening"
web developer,"firebase, css, mysql, google cloud, responsive design"
full stack developer,"vue.js, aws, graphql, sql, azure, rest apis, jest"
full stack developer,"serverless architecture, ci/cd, gcp, oauth, backend architecture"
ui/ux designer,"ui animation, market research, prototyping tools, trello, user interface guidelines, html/css"
information technology,"jenkins, git, network monitoring, o365 administration, itil, docker, chef, it security"
big data engineer,"real-time analytics, cloud data solutions, cassandra, elasticsearch, apache kafka, business intelligence, data governance, cloud data engineering"
data analyst,"data cleansing, data interpretation, predictive analytics, spark, power bi"
big data engineer,"cloud data solutions, data visualization, nosql databases, pig, azure, cloud data engineering, apache storm, data engineering, big data optimization, hadoop"
software engineer,"real-time operating systems, ansible, machine learning, jira, cloudformation"
web developer,"node.js, ui testing, shopify, css3, css flexbox, jquery, oauth"
data scientist,"multivariate analysis, aws, dimensional modeling, mathematics, deep learning, sql server, hadoop, algorithm development, robust statistics, spark"
information technology,"java, system monitoring, git, ci/cd, load balancing, javascript"
data scientist,"tensorflow, sql server, apache kafka, big data, aws, jupyter notebooks"
machine learning,"model deployment, support vector machines (svm), ai models, transfer learning, automl, edge ai"
artificial intelligence,"data science, ai software development, machine learning operations (mlops), graph neural networks (gnn), reinforcement learning, xgboost, transfer learning, data visualization"
machine learning,"deep learning, hyperparameter tuning, recurrent neural networks (rnn), xgboost, ensemble methods, nlp techniques, reinforcement learning algorithms, transfer learning"
artificial intelligence,"ai-based optimization, neural networks, python, ai model deployment, ai in iot, graph neural networks (gnn), big data analytics, data wrangling, ai for healthcare, ai for business intelligence"
cyber security,"redhat security, azure security, network security, cloudflare, mobile device management (mdm), security automation, security incident management, cissp"
software engineer,"tensorflow, redis, blockchain, scikit-learn, terraform, vue.js, ethical hacking, kubernetes"
machine learning,"transfer learning, h2o.ai, edge ai, model interpretability, catboost, numpy"
machine learning,"r, dimensionality reduction, data visualization, model training, statistical modeling, federated learning"
ui/ux designer,"behavioral design, photoshop, web design, user flows, trello, adobe creative suite, agile, illustrator, zeplin"
machine learning,"recurrent neural networks (rnn), pandas, statistical modeling, convolutional neural networks (cnn), data cleaning, data science"
machine learning,"kubernetes, model evaluation, nlp techniques, tensorflow, machine learning operations (mlops), model deployment, time series forecasting, ml algorithms"
artificial intelligence,"big data analytics, deep learning algorithms, speech recognition, nlp, gans, machine learning operations (mlops), generative models"
iot developer,"iot protocols, data integration, device connectivity, google cloud iot, ai algorithms, device-to-cloud integration, bluetooth low energy (ble)"
mobile application developer,"app distribution, android jetpack, code review, app performance optimization, mobile app prototyping, app monetization, json, git, objective-c++"
ui/ux designer,"user interface guidelines, ui design systems, storytelling, interaction design, html5, adobe creative suite, storyboarding, ux/ui accessibility, product design"
cyber security,"system hardening, iso 27001, two-factor authentication, kali linux, security patch management, security monitoring, threat intelligence, siem integration, cyber intelligence"
cyber security,"authorization, ethical hacking, redhat security, security incident management, malware reverse engineering, incident response, application security, system hardening, dlp, cyber intelligence"
network engineer,"juniper networks, ipv6, packet loss, firewall configuration, bandwidth management, ntp"
data scientist,"dimensionality reduction, random forest, deep learning algorithms, data cleaning, power bi, natural language processing (nlp)"
software engineer,"trello, microservices, linux, confluence, rest apis, oauth, hadoop"
backend developer,"terraform, redis, graphql apis, github, app performance optimization, redis streams, postgresql"
cloud engineer,"k8s, cloud backup, bash, puppet, cloudformation"
cloud engineer,"cloud compliance, api gateway, service mesh, openstack, chef, puppet, cloud monitoring, k8s"
full stack developer,"serverless architecture, backend architecture, svelte, agile, microservices, gcp, javascript, babel, cloud development"
information technology,"kubernetes, endpoint security, javascript, network monitoring, firewall management, managed services, server configuration, jenkins, troubleshooting"
machine learning,"time series forecasting, scikit-learn, transfer learning, hyperparameter tuning, deep learning, model evaluation"
cyber security,"network security, gcp security, penetration testing, iso 27001, dlp"
network engineer,"network topology, ipv4, packet tracer, ip addressing, network protocols"
full stack developer,"oauth, html5, cross-browser compatibility, docker, api integration, babel, jest, ci/cd"
backend developer,"redis, terraform, distributed caching, apache kafka, version control, kubernetes, aws, express.js, load balancing"
backend developer,"application security, google cloud, cloud apis, restful web services, oauth2, distributed caching, api documentation, kubernetes"
cyber security,"apt, iso 27001, wireshark, two-factor authentication, threat detection, windows security"
data analyst,"big data, etl pipelines, dax, data reporting, matplotlib, machine learning"
cloud engineer,"helm, cloud networking, azure, cloud load balancing, monitoring tools, network security, api gateway, puppet, containers"
machine learning,"kubernetes, ml algorithms, clustering, unsupervised learning, artificial intelligence, machine learning operations (mlops), docker, catboost, aws sagemaker"
iot developer,"iot system architecture, c++, wi-fi, data storage, big data analytics, network protocols, c, real-time systems"
big data engineer,"apache nifi, real-time processing, big data optimization, batch processing, big data cloud services, data storage, database management"
web developer,"github, postgresql, google cloud, content management systems, front-end frameworks, netlify, jwt, mongodb"
cloud engineer,"cloud performance, api gateway, aws s3, cloud monitoring, cloud backup, cloud deployment automation"
cloud engineer,"cloudformation, cloud containerization, helm, cloud virtual machines, ci/cd, aws s3, cloud migration, cloud disaster recovery"
software engineer,"restful apis, etl, webassembly, react, jira"
software engineer,"scikit-learn, jenkins, sql, bash, mysql, jira"
ui/ux designer,"customer experience, interaction design, javascript, color theory, ui design systems, storyboarding"
cloud engineer,"api integration, cloud disaster recovery, terraform, cloud performance, cloud orchestration, cloud computing, big data on cloud, networking, cloudformation, cloud migration"
machine learning,"python, model training, dimensionality reduction, aws sagemaker, kubernetes, ml systems, natural language processing (nlp), unsupervised learning"
artificial intelligence,"computer vision, catboost, data visualization, ai model interpretability, matplotlib, python, ai for business intelligence"
software engineer,"websockets, sql, hadoop, aws, mongodb, embedded linux, scikit-learn"
iot developer,"iot device management, mqtt, network protocols, edge-to-cloud communication, c"
cloud engineer,"cloud management, cloud cdn, cloud data warehousing, cloud design patterns, vpc, aws ec2, cloud backup, aws"
ui/ux designer,"wireframe sketches, ui/ux strategy, adobe creative suite, user research, ux principles, market research, jira, sketch, storytelling"
cyber security,"cissp, cloud access security broker (casb), dlp, blue teaming, soc analyst, cryptography, redhat security, cism"
data scientist,"data governance, power bi, r, deep learning, jupyter notebooks, svm, azure"
full stack developer,"database design, jquery, javascript, frontend frameworks, jest, redux, linux, angular, scrum"
mobile application developer,"ui/ux design, app customization, mobile analytics, apis, uikit, android sdk"
network engineer,"gcp networking, network performance optimization, powershell, sd-wan, wi-fi, vpn, ntp, network backbone, python"
data analyst,"sql queries, aws, sql reporting, spss, google analytics, power bi, data wrangling, data modeling"
ui/ux designer,"miro, ui/ux best practices, icon design, storytelling, customer experience, adobe xd"
web developer,"webpack, html5, azure, sass, git"
full stack developer,"sql, oauth, docker, agile, mongodb, node.js, javascript, webpack, web development"
data scientist,"natural language processing (nlp), svm, matplotlib, sql server, deep learning algorithms, jupyter notebooks"
cloud engineer,"cloud monitoring, cloud performance, cloud event-driven architecture, cloud platform solutions, cloud integration"
backend developer,"unit testing, restful web services, api gateway, google cloud, database troubleshooting, redis, aws, junit"
